"time","l2.v","act_steady","act_steady_n","act_tau","inact_steady","inact_tau_fast","inact_tau_slow","v","vc.v"
0,-0.08,8.995658813354483e-06,4.286653125796481e-06,0.001118317563533431,0.9996911694313801,0.01002784403545225,0.06001000625549018,-0.08,-0.08
1,-0.07900000000000017,1.046489757066964e-05,5.235724982018311e-06,0.001131630749009355,0.999638154119322,0.01004261067692866,0.06001773443679648,-0.07900000000000017,-0.07900000000000017
2,-0.07800000000000018,1.217410054747962e-05,6.394921520986956e-06,0.001145264703784251,0.9995760418083161,0.01006450992784408,0.06003097925112173,-0.07800000000000018,-0.07800000000000018
3,-0.07700000000000018,1.416245899828492e-05,7.810763725055997e-06,0.001159231154983995,0.9995032729654878,0.01009661766679869,0.06005333743545153,-0.07700000000000018,-0.07700000000000018
4,-0.07600000000000018,1.647556457725709e-05,9.540071859239533e-06,0.001173542406310607,0.9994180212374875,0.01014315561992586,0.06009051093398015,-0.07600000000000018,-0.07600000000000018
5,-0.07500000000000018,1.916645447104133e-05,1.165224547006922e-05,0.001188211373204468,0.9993181479999722,0.01020983702741667,0.0601513831937716,-0.07500000000000018,-0.07500000000000018
6,-0.07400000000000016,2.229682714764742e-05,1.423204803950529e-05,0.001203251620342159,0.9992011492394892,0.01030428301837554,0.06024955253242482,-0.07400000000000016,-0.07400000000000016
7,-0.07300000000000016,2.593845655811589e-05,1.738300795560635e-05,0.001218677401540947,0.9990640935020377,0.01043651098047249,0.06040546558695576,-0.07300000000000016,-0.07300000000000016
8,-0.07200000000000016,3.017483716362718e-05,2.123157214929456e-05,0.001234503702088564,0.9989035494441131,0.0106194902807787,0.06064931243493321,-0.07200000000000016,-0.07200000000000016
9,-0.07100000000000015,3.510309743382475e-05,2.593217888308927e-05,0.001250746283432164,0.9987155012964097,0.01086975250498354,0.06102485197135676,-0.07100000000000015,-0.07100000000000015
10,-0.07000000000000015,4.083622559143365e-05,3.167345296117381e-05,0.001267421730027519,0.998495250295473,0.01120803285592022,0.06159432282070522,-0.07000000000000015,-0.07000000000000015
11,-0.06900000000000014,4.750565850182672e-05,3.868577151978559e-05,0.001284547497945825,0.9982372998528561,0.01165990667500325,0.0624445509035131,-0.06900000000000014,-0.06900000000000014
12,-0.06800000000000014,5.526429288400399e-05,4.725050332880877e-05,0.001302141964527576,0.9979352219141464,0.0122563707612077,0.06369427829774964,-0.06800000000000014,-0.06800000000000014
13,-0.06700000000000014,6.42899876367651e-05,5.77112913498355e-05,0.001320224477913066,0.9975815016124904,0.01303430422840476,0.06550259859721848,-0.06700000000000014,-0.06700000000000014
14,-0.06600000000000013,7.478963724503605e-05,7.048782977772344e-05,0.001338815404598015,0.9971673569463099,0.01403672949752484,0.06807818432477621,-0.06600000000000013,-0.06600000000000013
15,-0.06500000000000014,8.700390920417398e-05,8.609268612756357e-05,0.00135793617216184,0.9966825298155958,0.01531278255283784,0.07168873155882025,-0.06500000000000014,-0.06500000000000014
16,-0.06400000000000014,0.0001012127534608202,0.0001051518399777706,0.001377609302854786,0.9961150443474956,0.0169172950554038,0.07666973562179549,-0.06400000000000014,-0.06400000000000014
17,-0.06300000000000014,0.0001177418093475655,0.0001284297574131766,0.00139785843160995,0.9954509280491387,0.01890989174742358,0.08343137314580483,-0.06300000000000014,-0.06300000000000014
18,-0.06200000000000014,0.0001369698557655126,0.0001568599996668673,0.001418708298989615,0.994673890973176,0.02135351717296178,0.09246193989925314,-0.06200000000000014,-0.06200000000000014
19,-0.06100000000000014,0.0001593374738807755,0.0001915825827212767,0.00144018470519755,0.9937649578126906,0.02431232804228484,0.1043260364641247,-0.06100000000000014,-0.06100000000000014
20,-0.06000000000000014,0.0001853571188494479,0.00023398956983617,0.001462314405064778,0.992702047719129,0.0278489227278928,0.1196555742126697,-0.06000000000000014,-0.06000000000000014
21,-0.05900000000000014,0.0002156248286443618,0.000285780700841871,0.001485124915140321,0.9914594967469306,0.03202092733894932,0.1391317667586704,-0.05900000000000014,-0.05900000000000014
22,-0.05800000000000014,0.0002508338345807106,0.0003490312521100514,0.001508644191765179,0.9900075182915501,0.03687701696068042,0.1634566460748254,-0.05800000000000014,-0.05800000000000014
23,-0.05700000000000015,0.0002917903803705474,0.0004262747929949882,0.001532900122101273,0.9883115978655693,0.04245251757483851,0.1933133459979449,-0.05700000000000015,-0.05700000000000015
24,-0.05600000000000015,0.0003394321053207368,0.0005206040741109264,0.001557919747100556,0.9863318202651487,0.04876480370421939,0.2293154399746024,-0.05600000000000015,-0.05600000000000015
25,-0.05500000000000015,0.0003948494035734785,0.000635793968395209,0.001583728104727104,0.9840221298946249,0.05580877217895028,0.2719469635715256,-0.05500000000000015,-0.05500000000000015
26,-0.05400000000000016,0.0004593102361339073,0.0007764512082708194,0.001610346541812943,0.9813295290935405,0.06355272575900295,0.3214962923877229,-0.05400000000000016,-0.05400000000000016
27,-0.05300000000000016,0.0005342889470119749,0.0009481966443536961,0.001637790292665621,0.9781932251824529,0.07193503351180826,0.3779886164225219,-0.05300000000000016,-0.05300000000000016
28,-0.05200000000000016,0.0006214997204174328,0.00115788691760958,0.0016660650622915,0.9745437451273447,0.08086194035141378,0.4411231343772618,-0.05200000000000016,-0.05200000000000016
29,-0.05100000000000015,0.0007229354139855519,0.001413883812460607,0.001695162285209395,0.9703020477990859,0.09020687026732326,0.5102220393010182,-0.05100000000000015,-0.05100000000000015
30,-0.05000000000000015,0.0008409126149641076,0.001726381165737102,0.001725052666300499,0.9653786783807442,0.09981150358531235,0.5841986414306604,-0.05000000000000015,-0.05000000000000015
31,-0.04900000000000015,0.0009781238937008321,0.00210780106204319,0.00175567756654921,0.9596730281019485,0.1094888088496962,0.6615513866392839,-0.04900000000000015,-0.04900000000000015
32,-0.04800000000000014,0.001137698373176382,0.002573273153810298,0.001786937807319456,0.9530727855087437,0.1190280794965862,0.7403889853829866,-0.04800000000000014,-0.04800000000000014
33,-0.04700000000000014,0.001323271896186151,0.003141213284829341,0.001818679586148337,0.9454536928412564,0.1282018734682999,0.8184894026729284,-0.04700000000000014,-0.04700000000000014
34,-0.04600000000000014,0.001539068254326357,0.003834020111497342,0.001850677503668276,0.9366797519733669,0.1367745929819142,0.8933922573757973,-0.04600000000000014,-0.04600000000000014
35,-0.04500000000000014,0.001789993146026576,0.004678910986350577,0.001882615294603265,0.926604056760622,0.1445122869935224,0.96252056420673,-0.04500000000000014,-0.04500000000000014
36,-0.04400000000000014,0.002081742754668391,0.005708920777023192,0.001914065833961902,0.9150704588032434,0.1511931266011322,1.023324159095224,-0.04400000000000014,-0.04400000000000014
37,-0.04300000000000014,0.002420929081476472,0.006964089177761893,0.001944473395441378,0.9019162955107929,0.1566179088645313,1.073434066083206,-0.04300000000000014,-0.04300000000000014
38,-0.04200000000000014,0.002815224428952857,0.008492862851644115,0.001973142863179105,0.8869764141446365,0.1606198995837031,1.110814958669956,-0.04200000000000014,-0.04200000000000014
39,-0.04100000000000014,0.003273527704483482,0.01035373753109146,0.001999242248107792,0.8700887015904023,0.1630733381910418,1.133902108514073,-0.04100000000000014,-0.04100000000000014
40,-0.04000000000000015,0.00380615549251723,0.01261716067933834,0.002021825657650842,0.8511012632887425,0.1639,1.14171,-0.04000000000000015,-0.04000000000000015
41,-0.03900000000000015,0.004425061115079801,0.01536770556527512,0.002039882703758223,0.8298812723373789,0.1630733381910422,1.133902108514077,-0.03900000000000015,-0.03900000000000015
42,-0.03800000000000014,0.005144085145893851,0.01870650995435407,0.002052416160637671,0.8063253213831457,0.160619899583704,1.110814958669964,-0.03800000000000014,-0.03800000000000014
43,-0.03700000000000015,0.005979241036301388,0.02275394346280332,0.002058542295944282,0.7803708551192232,0.1566179088645327,1.073434066083219,-0.03700000000000015,-0.03700000000000015
44,-0.03600000000000015,0.006949039613734506,0.02765242232282233,0.002057599221190489,0.7520079558213498,0.151193126601134,1.02332415909524,-0.03600000000000015,-0.03600000000000015
45,-0.03500000000000015,0.008074856173316235,0.03356922328148156,0.002049241314975094,0.7212904365365765,0.1445122869935245,0.9625205642067487,-0.03500000000000015,-0.03500000000000015
46,-0.03400000000000014,0.009381343629105024,0.04069905357146539,0.002033496473954399,0.6883449287709417,0.1367745929819165,0.8933922573758175,-0.03400000000000014,-0.03400000000000014
47,-0.03300000000000014,0.01089689462833773,0.04926600608402534,0.002010770043959595,0.6533765147739315,0.1282018734683023,0.8184894026729497,-0.03300000000000014,-0.03300000000000014
48,-0.03200000000000013,0.01265415453466519,0.05952436597650002,0.001981793140290739,0.6166695315658794,0.1190280794965887,0.7403889853830079,-0.03200000000000013,-0.03200000000000013
49,-0.03100000000000013,0.01469058559333327,0.07175754226374959,0.00194752817649014,0.578582522641309,0.1094888088496989,0.6615513866393059,-0.03100000000000013,-0.03100000000000013
50,-0.03000000000000013,0.01704908019833216,0.08627419449591459,0.001909054429128375,0.539536936907048,0.09981150358531507,0.5841986414306817,-0.03000000000000013,-0.03000000000000013
51,-0.02900000000000013,0.01977861773662004,0.1034004514582471,0.001867457899945458,0.5000000000000052,0.09020687026732593,0.5102220393010384,-0.02900000000000013,-0.02900000000000013
52,-0.02800000000000014,0.02293495468560016,0.123467047565221,0.001823743596976321,0.4604630630929627,0.08086194035141649,0.4411231343772813,-0.02800000000000014,-0.02800000000000014
53,-0.02700000000000015,0.02658133113930118,0.1467903398013787,0.001778778692795394,0.4214174773587017,0.07193503351181089,0.3779886164225401,-0.02700000000000015,-0.02700000000000015
54,-0.02600000000000015,0.03078916835760334,0.1736466470190006,0.001733266111654103,0.3833304684341313,0.06355272575900546,0.3214962923877395,-0.02600000000000015,-0.02600000000000015
55,-0.02500000000000016,0.03563872089446286,0.2042403022840867,0.001687742436109288,0.346623485226079,0.05580877217895256,0.2719469635715399,-0.02500000000000016,-0.02500000000000016
56,-0.02400000000000016,0.04121963304897102,0.2386672851570837,0.001642591959235845,0.3116550712290685,0.04876480370422149,0.2293154399746146,-0.02400000000000016,-0.02400000000000016
57,-0.02300000000000016,0.04763133263743909,0.2768781948756037,0.001598069257294465,0.2787095634634333,0.04245251757484034,0.1933133459979551,-0.02300000000000016,-0.02300000000000016
58,-0.02200000000000017,0.0549831755480184,0.3186462662109671,0.001554324497113271,0.2479920441786594,0.03687701696068203,0.1634566460748337,-0.02200000000000017,-0.02200000000000017
59,-0.02100000000000017,0.06339423286204977,0.3635474597184258,0.001511427782312841,0.2196291448807854,0.03202092733895073,0.1391317667586772,-0.02100000000000017,-0.02100000000000017
60,-0.02000000000000017,0.07299258993586422,0.4109595659413267,0.001469390606088938,0.193674678616862,0.02784892272789401,0.1196555742126751,-0.02000000000000017,-0.02000000000000017
61,-0.01900000000000017,0.08391400625799542,0.4600851154444258,0.001428183720350311,0.1701187276626282,0.02431232804228587,0.1043260364641289,-0.01900000000000017,-0.01900000000000017
62,-0.01800000000000018,0.09629977008181807,0.5099986668799568,0.001387751479375165,0.1488987367112639,0.02135351717296262,0.09246193989925638,-0.01800000000000018,-0.01800000000000018
63,-0.01700000000000018,0.1102935784135967,0.559713649267184,0.001348023088573035,0.1299112984096034,0.01890989174742429,0.08343137314580731,-0.01700000000000018,-0.01700000000000018
64,-0.01600000000000018,0.1260372882448175,0.6082590307465058,0.001308921313854576,0.1130235858553686,0.01691729505540437,0.07666973562179734,-0.01600000000000018,-0.01600000000000018
65,-0.01500000000000018,0.1436654275705462,0.6547534606063111,0.001270369189114086,0.09808370448921162,0.0153127825528383,0.07168873155882161,-0.01500000000000018,-0.01500000000000018
66,-0.01400000000000018,0.1632984334956371,0.6984652160025313,0.001232295171478326,0.08492954119676044,0.01403672949752518,0.06807818432477714,-0.01400000000000018,-0.01400000000000018
67,-0.01300000000000018,0.1850347064219837,0.7388500060842421,0.001194637082219253,0.07339594323938127,0.01303430422840505,0.06550259859721917,-0.01300000000000018,-0.01300000000000018
68,-0.01200000000000018,0.2089417356925937,0.7755640142690673,0.001157345062198459,0.06332024802663593,0.01225637076120792,0.06369427829775011,-0.01200000000000018,-0.01200000000000018
69,-0.01100000000000018,0.235046755957263,0.808454651438527,0.001120383678810199,0.0545463071587461,0.01165990667500342,0.06244455090351343,-0.01100000000000018,-0.01100000000000018
70,-0.01000000000000017,0.2633276150217377,0.8375349374192992,0.001083733253842973,0.04692721449125847,0.01120803285592034,0.06159432282070544,-0.01000000000000017,-0.01000000000000017
71,-0.009000000000000173,0.2937047383409349,0.8629487074245362,0.001047390441505649,0.04032697189805354,0.01086975250498363,0.06102485197135691,-0.009000000000000173,-0.009000000000000173
72,-0.008000000000000175,0.3260352147378482,0.8849332679544465,0.001011368073225467,0.0346213216192575,0.01061949028077877,0.06064931243493332,-0.008000000000000175,-0.008000000000000175
73,-0.007000000000000181,0.3601100485508874,0.903784458289304,0.0009756942983269326,0.0296979522009156,0.01043651098047254,0.06040546558695582,-0.007000000000000181,-0.007000000000000181
74,-0.006000000000000187,0.3956554787906868,0.9198270878271849,0.0009404110821964594,0.02545625487265678,0.01030428301837558,0.06024955253242487,-0.006000000000000187,-0.006000000000000187
75,-0.005000000000000195,0.4323389342496385,0.933391964424907,0.0009055721679347265,0.02180677481754839,0.0102098370274167,0.06015138319377163,-0.005000000000000195,-0.005000000000000195
76,-0.0040000000000002,0.4697796937277915,0.9447994622170636,0.0008712406529756933,0.01867047090646034,0.01014315561992588,0.06009051093398017,-0.0040000000000002,-0.0040000000000002
77,-0.003000000000000206,0.5075637194821507,0.9543488292155545,0.0008374863661300563,0.01597787010537602,0.0100966176667987,0.06005333743545154,-0.003000000000000206,-0.003000000000000206
78,-0.002000000000000211,0.5452615369067251,0.9623121094913926,0.0008043832406299514,0.01366817973485203,0.01006450992784409,0.06003097925112173,-0.002000000000000211,-0.002000000000000211
79,-0.001000000000000216,0.5824475678933996,0.9689315158403313,0.0007720068559281032,0.01168840213443138,0.01004261067692866,0.06001773443679648,-0.001000000000000216,-0.001000000000000216
80,-2.24097398132923e-16,0.6187190947824178,0.9744192116879912,0.0007404322633064739,0.009992481708450475,0.01002784403545226,0.06001000625549018,-2.24097398132923e-16,-2.24097398132923e-16
81,0.0009999999999997706,0.6537130908872705,0.9789586529795309,0.0007097321266650987,0.008540503253069882,0.01001799980455305,0.0600055645938978,0.0009999999999997706,0.0009999999999997706
82,0.001999999999999765,0.6871194881422142,0.9827068434300937,0.0006799751213316651,0.007297952280871435,0.01001151132373339,0.06000305002264435,0.001999999999999765,0.001999999999999765
83,0.00299999999999976,0.7186899842841421,0.9857970386273083,0.0006512244702686183,0.006235042187309699,0.0100072829044651,0.06000164770839025,0.00299999999999976,0.00299999999999976
84,0.003999999999999752,0.7482421040833175,0.9883415834451663,0.0006235364873031578,0.005326109026824249,0.01000455833065679,0.06000087733477438,0.003999999999999752,0.003999999999999752
85,0.004999999999999747,0.7756588006624205,0.9904346813279079,0.0005969590538209406,0.004549071950861673,0.01000282246720507,0.06000046042408626,0.004999999999999747,0.004999999999999747
86,0.005999999999999742,0.8008843207907506,0.992154976969544,0.0005715300639798322,0.003884955652504641,0.01000172891582939,0.0600002381542999,0.005999999999999742,0.005999999999999742
87,0.006999999999999736,0.8239173145674057,0.993567891533081,0.0005472759918720469,0.003317470184404299,0.0100010477089736,0.06000012141337184,0.006999999999999736,0.006999999999999736
88,0.00799999999999973,0.8448022440338372,0.9947276877730511,0.0005242108097051361,0.002832643053690244,0.01000062810079582,0.06000006100737158,0.00799999999999973,0.00799999999999973
89,0.008999999999999725,0.8636200707664504,0.9956792664800879,0.0005023354822758652,0.00241849838750978,0.0100003725116767,0.06000003021383196,0.008999999999999725,0.008999999999999725
90,0.009999999999999721,0.8804790307262165,0.9964597097790533,0.0004816381784035941,0.002064778085853622,0.01000021856081655,0.06000001474813164,0.009999999999999721,0.009999999999999721
91,0.01099999999999972,0.8955060883013628,0.9970995941982156,0.000462095208295869,0.001762700147143868,0.01000012686054868,0.06000000709538397,0.01099999999999972,0.01099999999999972
92,0.01199999999999971,0.9088394437034081,0.997624099433555,0.0004436725665285382,0.00150474970452716,0.01000007284550078,0.06000000336451524,0.01199999999999971,0.01199999999999971
93,0.01299999999999971,0.9206222773883438,0.9980539390149143,0.0004263278739537212,0.001284498703590455,0.01000004138097775,0.06000000157244983,0.01299999999999971,0.01299999999999971
94,0.0139999999999997,0.9309977663987162,0.9984061377716968,0.0004100124848340177,0.001096450555887144,0.01000002325522949,0.06000000072433388,0.0139999999999997,0.0139999999999997
95,0.0149999999999997,0.9401053035796156,0.9986946788464731,0.0003946735503160353,0.0009359064979624213,0.01000001292892387,0.06000000032885806,0.0149999999999997,0.0149999999999997
96,0.0159999999999997,0.9480777872909475,0.998931040497558,0.0003802558850094692,0.0007988507605108836,0.01000000711092329,0.06000000014715869,0.0159999999999997,0.0159999999999997
97,0.01699999999999969,0.9550398186019433,0.9991246403635706,0.0003667035475601265,0.0006818520000279322,0.01000000386911356,0.06000000006490393,0.01699999999999969,0.01699999999999969
98,0.01799999999999968,0.9611066361150608,0.9992832024072336,0.0003539611026272136,0.0005819787625126946,0.01000000208266216,0.06000000002821394,0.01799999999999968,0.01799999999999968
99,0.01899999999999967,0.9663836273326185,0.999413059503919,0.0003419745728933125,0.0004967270345121948,0.01000000110904213,0.06000000001208827,0.01899999999999967,0.01899999999999967
100,0.01999999999999965,0.9709662731778507,0.9995194026328298,0.0003306921146536823,0.00042395819168411,0.01000000058425054,0.06000000000510473,0.01999999999999965,0.01999999999999965
101,0.02099999999999964,0.9749404039728065,0.9996064858736734,0.000320064461956638,0.0003618458806781304,0.01000000030448933,0.06000000000212465,0.02099999999999964,0.02099999999999964
102,0.02199999999999963,0.9783826675146987,0.9996777948994687,0.0003100451862918952,0.0003088305686198394,0.01000000015698816,0.06000000000087159,0.02199999999999963,0.02199999999999963
103,0.02299999999999962,0.9813611308344025,0.9997361853670718,0.0003005908152829366,0.0002635806682148169,0.01000000008007254,0.0600000000003524,0.02299999999999962,0.02299999999999962
104,0.02399999999999961,0.9839359556853265,0.9997839965173034,0.0002916608476507653,0.0002249592979365947,0.01000000004040379,0.06000000000014043,0.02399999999999961,0.02399999999999961
105,0.02499999999999961,0.9861601033793611,0.9998231443812,0.0002832176947936526,0.0001919958683326993,0.01000000002016892,0.06000000000005516,0.02499999999999961,0.02499999999999961
106,0.02599999999999961,0.9880800372586038,0.9998551982239082,0.0002752265727586443,0.0001638617994662279,0.01000000000996013,0.06000000000002135,0.02599999999999961,0.02599999999999961
107,0.02699999999999961,0.9897364011040016,0.9998814432209221,0.0002676553626762499,0.0001398497730264571,0.01000000000486597,0.06000000000000814,0.02699999999999961,0.02699999999999961
108,0.02799999999999961,0.9911646594846711,0.9999029318329203,0.0002604744530445809,0.0001193560076235203,0.01000000000235177,0.06000000000000306,0.02799999999999961,0.02799999999999961
109,0.02899999999999961,0.992395691827482,0.9999205259080827,0.0002536565735448799,0.0001018651189685175,0.01000000000112446,0.06000000000000114,0.02899999999999961,0.02899999999999961
110,0.02999999999999961,0.9934563362044321,0.9999349311794794,0.0002471766272210287,8.693718958184298e-05,0.01000000000053188,0.06000000000000041,0.02999999999999961,0.02999999999999961
111,0.03099999999999961,0.9943698818260115,0.9999467255272021,0.0002410115257092193,7.419672674032763e-05,0.01000000000024889,0.06000000000000015,0.03099999999999961,0.03099999999999961
112,0.03199999999999961,0.9951565112742541,0.9999563821295476,0.0002351400306140807,6.332323377343287e-05,0.01000000000011522,0.06000000000000005,0.03199999999999961,0.03199999999999961
113,0.03299999999999961,0.9958336948419581,0.9999642884257205,0.0002295426029670006,5.404315960470146e-05,0.01000000000005277,0.06000000000000002,0.03299999999999961,0.03299999999999961
114,0.03399999999999961,0.9964165401510505,0.9999707616466246,0.0002242012618670879,4.612302552571782e-05,0.01000000000002391,0.06,0.03399999999999961,0.03399999999999961
115,0.03499999999999961,0.9969181006493935,0.9999760615340481,0.0002190994528130774,3.936355738367407e-05,0.01000000000001072,0.06,0.03499999999999961,0.03499999999999961
116,0.03599999999999961,0.9973496467438812,0.9999804007566964,0.0002142219258222535,3.359467635115339e-05,0.01000000000000475,0.06,0.03599999999999961,0.03599999999999961
117,0.03699999999999961,0.9977209033033795,0.999983953439761,0.000209554623152279,2.867122282477716e-05,0.01000000000000208,0.06,0.03699999999999961,0.03699999999999961
118,0.03799999999999961,0.9980402571209761,0.9999868621494367,0.0002050845762577674,2.446930628263767e-05,0.0100000000000009,0.06,0.03799999999999961,0.03799999999999961
119,0.03899999999999961,0.998314937707207,0.9999892436120982,0.0002007998114988439,2.088318956210665e-05,0.01000000000000039,0.06,0.03899999999999961,0.03899999999999961
120,0.03999999999999961,0.9985511745273887,0.9999911933972617,0.0001966892640540614,1.782262938069256e-05,0.01000000000000017,0.06,0.03999999999999961,0.03999999999999961
121,0.04099999999999962,0.9987543335200275,0.9999927897519977,0.0001927426994603195,1.521060634036219e-05,0.01000000000000007,0.06,0.04099999999999962,0.04099999999999962
122,0.04199999999999962,0.9989290354552788,0.9999940967405078,0.0001889506421972034,1.298138741093252e-05,0.01000000000000003,0.06,0.04199999999999962,0.04199999999999962
123,0.04299999999999963,0.9990792584229384,0.9999951668147382,0.0001853043107445832,1.107887222149561e-05,0.01000000000000001,0.06,0.04299999999999963,0.04299999999999963
124,0.04399999999999964,0.9992084264849246,0.9999960429191241,0.00018179555856472,9.455181606611507e-06,0.01000000000000001,0.06,0.04399999999999964,0.04399999999999964
125,0.04499999999999964,0.9993194862913112,0.9999967602138706,0.0001784168204893662,8.069452932784769e-06,0.01,0.06,0.04499999999999964,0.04499999999999964
126,0.04599999999999965,0.999414973243428,0.9999973474859046,0.0001751610640254758,6.886811921667625e-06,0.01,0.06,0.04599999999999965,0.04599999999999965
127,0.04699999999999965,0.9994970685927326,0.9999978283040929,0.0001720217451280475,5.877495118803713e-06,0.01,0.06,0.04699999999999965,0.04699999999999965
128,0.04799999999999964,0.9995676486896131,0.9999982219650746,0.0001689927680238243,5.016100941109615e-06,0.01,0.06,0.04799999999999964,0.04799999999999964
129,0.04899999999999965,0.999628327440969,0.9999985442676576,0.000166068448704081,4.280950467218482e-06,0.01,0.06,0.04899999999999965,0.04899999999999965
130,0.04999999999999965,0.9996804928979918,0.9999988081468484,0.0001632434817378592,3.653541893072691e-06,0.01,0.06,0.04999999999999965,0.04999999999999965
131,0.05099999999999965,0.9997253387745272,0.9999990241929609,0.000160512910088348,3.118084929792998e-06,0.01,0.06,0.05099999999999965,0.05099999999999965
132,0.05199999999999966,0.9997638915901955,0.9999992010766267,0.0001578720976444309,2.661103430853684e-06,0.01,0.06,0.05199999999999966,0.05199999999999966
133,0.05299999999999967,0.9997970340395544,0.9999993458967702,0.0001553167042065896,2.271096251342996e-06,0.01,0.06,0.05299999999999967,0.05299999999999967
134,0.05399999999999966,0.9998255251075495,0.9999994644655065,0.0001528426626913886,1.938247806621498e-06,0.01,0.06,0.05399999999999966,0.05399999999999966
135,0.05499999999999967,0.9998500173809589,0.9999995615413984,0.00015044615834167,1.65418104775943e-06,0.01,0.06,0.05499999999999967,0.05499999999999967
136,0.05599999999999967,0.9998710719442506,0.9999996410204303,0.0001481236097504793,1.411746638122851e-06,0.01,0.06,0.05599999999999967,0.05599999999999967
137,0.05699999999999967,0.9998891711951134,0.9999997060923673,0.0001458716515257127,1.204843026183024e-06,0.01,0.06,0.05699999999999967,0.05699999999999967
138,0.05799999999999967,0.9999047298688535,0.9999997593687699,0.0001436871184396528,1.028262886924949e-06,0.01,0.06,0.05799999999999967,0.05799999999999967
139,0.05899999999999967,0.9999181045210118,0.9999998029878032,0.0001415670309230846,8.775620676611834e-07,0.01,0.06,0.05899999999999967,0.05899999999999967
140,0.05999999999999967,0.9999296016830898,0.9999998387000499,0.0001395085817776758,7.489477402920289e-07,0.01,0.06,0.05999999999999967,0.05999999999999967
140,0.05999999999999967,0.9999296016830898,0.9999998387000499,0.0001395085817776758,7.489477402920289e-07,0.01,0.06,0.05999999999999967,0.05999999999999967
