"time","vc.v_stim","kir.i","i_max","vc.v"
0,-0.1,-4.491202923693295e-11,0,-0.1
1,-0.099,-4.171510648146049e-11,0,-0.099
2,-0.098,-3.858975676321579e-11,0,-0.098
3,-0.097,-3.553883757208763e-11,0,-0.097
4,-0.096,-3.25650947853997e-11,0,-0.096
5,-0.095,-2.967114442739425e-11,0,-0.095
6,-0.094,-2.6859454780331e-11,0,-0.094
7,-0.093,-2.413232906785793e-11,0,-0.093
8,-0.092,-2.149188893273066e-11,0,-0.092
9,-0.091,-1.894005892802947e-11,0,-0.091
10,-0.09,-1.647855223358878e-11,0,-0.09
11,-0.089,-1.41088577973885e-11,0,-0.089
12,-0.08799999999999999,-1.183222908526826e-11,0,-0.08799999999999999
13,-0.08699999999999999,-9.649674601766904e-12,0,-0.08699999999999999
14,-0.08599999999999999,-7.561950320546823e-12,0,-0.08599999999999999
15,-0.08499999999999999,-5.569554135252928e-12,0,-0.08499999999999999
16,-0.08399999999999999,-3.672722411406887e-12,0,-0.08399999999999999
17,-0.08299999999999999,-1.871428687770073e-12,0,-0.08299999999999999
18,-0.08199999999999999,-1.65384542311837e-13,0,-0.08199999999999999
19,-0.081,1.445957395679409e-12,0,-0.081
20,-0.08,2.963398338869212e-12,0,-0.08
21,-0.079,4.387986223774868e-12,0,-0.079
22,-0.078,5.721006694128378e-12,0,-0.078
23,-0.077,6.963972325340609e-12,0,-0.077
24,-0.076,8.118610253109631e-12,0,-0.076
25,-0.075,9.186848388763807e-12,0,-0.075
26,-0.074,1.017080041928129e-11,0,-0.074
27,-0.073,1.10727498008806e-11,0,-0.073
28,-0.07199999999999999,1.189513296156985e-11,0,-0.07199999999999999
29,-0.07099999999999999,1.264052193014287e-11,0,-0.07099999999999999
30,-0.07000000000000001,1.331160660701227e-11,0,-0.07000000000000001
31,-0.06900000000000001,1.391117688627064e-11,0,-0.06900000000000001
32,-0.068,1.444210482886056e-11,0,-0.068
33,-0.067,1.490732707417312e-11,0,-0.067
34,-0.066,1.530982766228843e-11,0,-0.066
35,-0.065,1.565262142195888e-11,0,-0.065
36,-0.064,1.593873806085981e-11,0,-0.064
37,-0.063,1.617120707512563e-11,0,-0.063
38,-0.06199999999999999,1.635304357526127e-11,0,-0.06199999999999999
39,-0.06099999999999999,1.648723510563598e-11,0,-0.06099999999999999
40,-0.05999999999999999,1.657672951534629e-11,0,-0.05999999999999999
41,-0.059,1.662442391964044e-11,0,-0.059
41.73402714022153,-0.05826597285977846,1.663447861496969e-11,0,-0.05826597285977846
41.73402714022153,-0.05826597285977846,1.663447861496969e-11,1.663447861496969e-11,-0.05826597285977846
42,-0.058,1.663315477362529e-11,1.663447861496969e-11,-0.058
43,-0.057,1.660568906386849e-11,1.663447861496969e-11,-0.057
44,-0.056,1.654471660893629e-11,1.663447861496969e-11,-0.056
45,-0.055,1.645284344699122e-11,1.663447861496969e-11,-0.055
46,-0.054,1.633258627737152e-11,1.663447861496969e-11,-0.054
47,-0.05299999999999999,1.618636791360529e-11,1.663447861496969e-11,-0.05299999999999999
48,-0.052,1.601651369754261e-11,1.663447861496969e-11,-0.052
49,-0.051,1.582524881815897e-11,1.663447861496969e-11,-0.051
50,-0.05,1.561469647399822e-11,1.663447861496969e-11,-0.05
51,-0.04899999999999999,1.538687681507021e-11,1.663447861496969e-11,-0.04899999999999999
52,-0.04799999999999999,1.51437065981669e-11,1.663447861496969e-11,-0.04799999999999999
53,-0.04699999999999999,1.488699948887226e-11,1.663447861496969e-11,-0.04699999999999999
54,-0.04599999999999999,1.461846694387199e-11,1.663447861496969e-11,-0.04599999999999999
55,-0.04499999999999999,1.433971960837376e-11,1.663447861496969e-11,-0.04499999999999999
56,-0.04399999999999999,1.405226916538849e-11,1.663447861496969e-11,-0.04399999999999999
57,-0.04299999999999999,1.375753057616119e-11,1.663447861496969e-11,-0.04299999999999999
58,-0.042,1.345682465405293e-11,1.663447861496969e-11,-0.042
59,-0.04099999999999999,1.315138091754436e-11,1.663447861496969e-11,-0.04099999999999999
60,-0.03999999999999999,1.284234067165464e-11,1.663447861496969e-11,-0.03999999999999999
61,-0.039,1.253076027085098e-11,1.663447861496969e-11,-0.039
62,-0.038,1.221761452038429e-11,1.663447861496969e-11,-0.038
63,-0.037,1.190380017685428e-11,1.663447861496969e-11,-0.037
64,-0.036,1.159013951262461e-11,1.663447861496969e-11,-0.036
65,-0.035,1.127738391242627e-11,1.663447861496969e-11,-0.035
66,-0.034,1.096621747406697e-11,1.663447861496969e-11,-0.034
67,-0.033,1.065726058857557e-11,1.663447861496969e-11,-0.033
68,-0.032,1.035107347833095e-11,1.663447861496969e-11,-0.032
69,-0.031,1.004815967473903e-11,1.663447861496969e-11,-0.031
70,-0.03,9.748969419820753e-12,1.663447861496969e-11,-0.03
71,-0.029,9.453902978651799e-12,1.663447861496969e-11,-0.029
72,-0.028,9.163313851953922e-12,1.663447861496969e-11,-0.028
73,-0.027,8.877511880278697e-12,1.663447861496969e-11,-0.027
74,-0.026,8.596766233155329e-12,1.663447861496969e-11,-0.026
75,-0.025,8.321308278302102e-12,1.663447861496969e-11,-0.025
76,-0.024,8.051334327536421e-12,1.663447861496969e-11,-0.024
77,-0.023,7.7870082573723e-12,1.663447861496969e-11,-0.023
78,-0.022,7.528464003478201e-12,1.663447861496969e-11,-0.022
79,-0.021,7.275807929194988e-12,1.663447861496969e-11,-0.021
80,-0.02,7.029121069195366e-12,1.663447861496969e-11,-0.02
81,-0.019,6.788461250115375e-12,1.663447861496969e-11,-0.019
82,-0.018,6.553865090617015e-12,1.663447861496969e-11,-0.018
83,-0.017,6.32534988386054e-12,1.663447861496969e-11,-0.017
84,-0.016,6.102915365786814e-12,1.663447861496969e-11,-0.016
85,-0.015,5.886545372944415e-12,1.663447861496969e-11,-0.015
86,-0.014,5.676209393853268e-12,1.663447861496969e-11,-0.014
87,-0.013,5.471864018085282e-12,1.663447861496969e-11,-0.013
88,-0.012,5.273454287371458e-12,1.663447861496969e-11,-0.012
89,-0.011,5.080914953122013e-12,1.663447861496969e-11,-0.011
90,-0.009999999999999998,4.894171644778284e-12,1.663447861496969e-11,-0.009999999999999998
91,-0.008999999999999998,4.713141953409087e-12,1.663447861496969e-11,-0.008999999999999998
92,-0.008,4.537736434925588e-12,1.663447861496969e-11,-0.008
93,-0.006999999999999999,4.36785953722289e-12,1.663447861496969e-11,-0.006999999999999999
94,-0.005999999999999998,4.203410455468139e-12,1.663447861496969e-11,-0.005999999999999998
95,-0.004999999999999998,4.044283919648077e-12,1.663447861496969e-11,-0.004999999999999998
96,-0.004,3.890370918367584e-12,1.663447861496969e-11,-0.004
97,-0.002999999999999999,3.74155936275754e-12,1.663447861496969e-11,-0.002999999999999999
98,-0.001999999999999998,3.597734694209031e-12,1.663447861496969e-11,-0.001999999999999998
99,-0.0009999999999999992,3.458780439502778e-12,1.663447861496969e-11,-0.0009999999999999992
100,1.734723475976807e-18,3.324578716751183e-12,1.663447861496969e-11,1.734723475976807e-18
101,0.001000000000000001,3.19501069541612e-12,1.663447861496969e-11,0.001000000000000001
102,0.002000000000000002,3.069957013511017e-12,1.663447861496969e-11,0.002000000000000002
103,0.003000000000000001,2.94929815494178e-12,1.663447861496969e-11,0.003000000000000001
104,0.004000000000000002,2.83291478978876e-12,1.663447861496969e-11,0.004000000000000002
105,0.005000000000000001,2.720688080182482e-12,1.663447861496969e-11,0.005000000000000001
106,0.006000000000000002,2.612499954279592e-12,1.663447861496969e-11,0.006000000000000002
107,0.007000000000000001,2.508233350703396e-12,1.663447861496969e-11,0.007000000000000001
108,0.008,2.407772435675583e-12,1.663447861496969e-11,0.008
109,0.009000000000000001,2.31100279493293e-12,1.663447861496969e-11,0.009000000000000001
110,0.01,2.217811602394951e-12,1.663447861496969e-11,0.01
111,0.011,2.128087767425941e-12,1.663447861496969e-11,0.011
112,0.012,2.041722062417663e-12,1.663447861496969e-11,0.012
113,0.013,1.958607232307225e-12,1.663447861496969e-11,0.013
114,0.014,1.878638087538239e-12,1.663447861496969e-11,0.014
115,0.01500000000000001,1.801711581872357e-12,1.663447861496969e-11,0.01500000000000001
116,0.01600000000000001,1.727726876362572e-12,1.663447861496969e-11,0.01600000000000001
117,0.01700000000000002,1.656585390708923e-12,1.663447861496969e-11,0.01700000000000002
118,0.01800000000000002,1.588190843131803e-12,1.663447861496969e-11,0.01800000000000002
119,0.01900000000000002,1.52244927981722e-12,1.663447861496969e-11,0.01900000000000002
120,0.02000000000000002,1.459269094912336e-12,1.663447861496969e-11,0.02000000000000002
121,0.02100000000000002,1.398561041978176e-12,1.663447861496969e-11,0.02100000000000002
122,0.02200000000000001,1.340238237739086e-12,1.663447861496969e-11,0.02200000000000001
123,0.02300000000000001,1.284216158905629e-12,1.663447861496969e-11,0.02300000000000001
124,0.02400000000000001,1.230412632788431e-12,1.663447861496969e-11,0.02400000000000001
125,0.02500000000000002,1.178747822365297e-12,1.663447861496969e-11,0.02500000000000002
126,0.02600000000000001,1.129144206412131e-12,1.663447861496969e-11,0.02600000000000001
127,0.02700000000000001,1.08152655525998e-12,1.663447861496969e-11,0.02700000000000001
128,0.02800000000000001,1.035821902695375e-12,1.663447861496969e-11,0.02800000000000001
129,0.02900000000000002,9.919595144791848e-13,1.663447861496969e-11,0.02900000000000002
130,0.03000000000000001,9.498708539199903e-13,1.663447861496969e-11,0.03000000000000001
131,0.03100000000000001,9.094895449016004e-13,1.663447861496969e-11,0.03100000000000001
132,0.03200000000000001,8.707513327304124e-13,1.663447861496969e-11,0.03200000000000001
133,0.03300000000000002,8.335940431368536e-13,1.663447861496969e-11,0.03300000000000002
134,0.03400000000000001,7.979575397359228e-13,1.663447861496969e-11,0.03400000000000001
135,0.03500000000000001,7.637836802247144e-13,1.663447861496969e-11,0.03500000000000001
136,0.03600000000000001,7.310162715697148e-13,1.663447861496969e-11,0.03600000000000001
137,0.03700000000000001,6.996010244133549e-13,1.663447861496969e-11,0.03700000000000001
138,0.03800000000000001,6.694855069078095e-13,1.663447861496969e-11,0.03800000000000001
139,0.03900000000000001,6.406190981640843e-13,1.663447861496969e-11,0.03900000000000001
140,0.04000000000000001,6.129529414860926e-13,1.663447861496969e-11,0.04000000000000001
141,0.04100000000000002,5.864398975423965e-13,1.663447861496969e-11,0.04100000000000002
142,0.04200000000000002,5.610344976126707e-13,1.663447861496969e-11,0.04200000000000002
143,0.04300000000000001,5.366928970315188e-13,1.663447861496969e-11,0.04300000000000001
144,0.04400000000000001,5.133728289389736e-13,1.663447861496969e-11,0.04400000000000001
145,0.04500000000000001,4.910335584348381e-13,1.663447861496969e-11,0.04500000000000001
146,0.04600000000000001,4.696358372227662e-13,1.663447861496969e-11,0.04600000000000001
147,0.04700000000000001,4.491418588197179e-13,1.663447861496969e-11,0.04700000000000001
148,0.04800000000000001,4.295152143969589e-13,1.663447861496969e-11,0.04800000000000001
149,0.04900000000000002,4.107208493101468e-13,1.663447861496969e-11,0.04900000000000002
150,0.05000000000000002,3.927250203681148e-13,1.663447861496969e-11,0.05000000000000002
150,0.05000000000000002,3.927250203681148e-13,1.663447861496969e-11,0.05000000000000002
