"time","l2.v","act_steady","act_tau_fast","act_tau_slow","inact_steady","inact_tau","v","vc.v"
0,-0.12,2.460129473798584e-06,0.01040368865102361,0.3358143547020467,0.9995009862688349,0.0009784913353531475,-0.12,-0.12
1,-0.1189999999999998,2.767268497979249e-06,0.01094648852473251,0.3358154352466079,0.9994669316039461,0.0009912489733602307,-0.1189999999999998,-0.1189999999999998
2,-0.1179999999999996,3.112752693639297e-06,0.01151745346685069,0.3358167701917263,0.9994305542384698,0.001004051817426213,-0.1179999999999996,-0.1179999999999996
3,-0.1169999999999996,3.501369281987519e-06,0.01211802137194858,0.3358184159585462,0.9993916959393172,0.001016895266328,-0.1169999999999996,-0.1169999999999996
4,-0.1159999999999996,3.938503138746455e-06,0.01274969995413624,0.3358204406398114,0.9993501877201932,0.001029774561544596,-0.1159999999999996,-0.1159999999999996
5,-0.1149999999999996,4.430211405338043e-06,0.01341406958465923,0.3358229262200554,0.9993058491145478,0.001042684788465309,-0.1149999999999996,-0.1149999999999996
6,-0.1139999999999996,4.983307413938007e-06,0.01411278615616982,0.3358259711755217,0.9992584873998924,0.001055620877959722,-0.1139999999999996,-0.1139999999999996
7,-0.1129999999999996,5.605455088911979e-06,0.01484758395715018,0.33582969350991,0.999207896770303,0.001068577608321543,-0.1129999999999996,-0.1129999999999996
8,-0.1119999999999996,6.305275132203484e-06,0.01562027853653304,0.3358342342885811,0.9991538574537333,0.001081549607597641,-0.1119999999999996,-0.1119999999999996
9,-0.1109999999999996,7.092464463391129e-06,0.01643276953460663,0.3358397617408143,0.9990961347705442,0.0010945313563127,-0.1109999999999996,-0.1109999999999996
10,-0.1099999999999996,7.97793056862135e-06,0.01728704345173358,0.335846476007067,0.9990344781294541,0.001107517190598945,-0.1099999999999996,-0.1099999999999996
11,-0.1089999999999996,8.973942618986303e-06,0.01818517632117892,0.3358546146158602,0.99896861995686,0.001120501305739269,-0.1089999999999996,-0.1089999999999996
12,-0.1079999999999996,1.009430145100202e-05,0.01912933624634799,0.3358644587828491,0.9988982745552497,0.00113347776013094,-0.1079999999999996,-0.1079999999999996
13,-0.1069999999999996,1.135453076284905e-05,0.02012178575588395,0.3358763406327079,0.9988231368861605,0.001146440479675716,-0.1069999999999996,-0.1069999999999996
14,-0.1059999999999996,1.277209217356271e-05,0.02116488392226783,0.3358906514525578,0.9987428812728709,0.001159383262600873,-0.1059999999999996,-0.1059999999999996
15,-0.1049999999999996,1.436662712244643e-05,0.0222610881806913,0.335907851093613,0.9986571600177181,0.001172299784714083,-0.1049999999999996,-0.1049999999999996
16,-0.1039999999999996,1.616022895716843e-05,0.02341295577491853,0.3359284786453481,0.998565601928639,0.001185183605093554,-0.1039999999999996,-0.1039999999999996
17,-0.1029999999999996,1.817774897639571e-05,0.02462314474549509,0.3359531645135403,0.9984678107492035,0.001198028172213146,-0.1029999999999996,-0.1029999999999996
18,-0.1019999999999996,2.044714066214767e-05,0.02589441436287634,0.3359826440397914,0.9983633634860772,0.00121082683050044,-0.1019999999999996,-0.1019999999999996
19,-0.1009999999999996,2.299984686475724e-05,0.02722962489370546,0.3360177728052444,0.9982518086274748,0.001223572827323895,-0.1009999999999996,-0.1009999999999996
20,-0.09999999999999964,2.587123529663786e-05,0.02863173657245178,0.3360595437648702,0.9981326642457983,0.001236259320403341,-0.09999999999999964,-0.09999999999999964
21,-0.09899999999999964,2.910108835808602e-05,0.03010380763280668,0.3361091063605123,0.9980054159772175,0.001248879385636124,-0.09899999999999964,-0.09899999999999964
22,-0.09799999999999964,3.27341540682159e-05,0.03164899123353022,0.3361677877604379,0.9978695148705171,0.001261426025329182,-0.09799999999999964,-0.09799999999999964
23,-0.09699999999999964,3.682076571704586e-05,0.03327053109177063,0.3362371163699872,0.9977243750970302,0.001273892176825335,-0.09699999999999964,-0.09699999999999964
24,-0.09599999999999966,4.141753880220493e-05,0.03497175561320814,0.3363188477515653,0.9975693715129434,0.001286270721509973,-0.09599999999999966,-0.09599999999999966
25,-0.09499999999999965,4.658815487856679e-05,0.03675607028271854,0.33641499308217,0.9974038370646472,0.001298554494182286,-0.09499999999999965,-0.09499999999999965
26,-0.09399999999999965,5.240424314575947e-05,0.03862694805170157,0.3365278502623522,0.9972270600271205,0.001310736292773068,-0.09399999999999965,-0.09399999999999965
27,-0.09299999999999967,5.894637194310484e-05,0.04058791742896062,0.3366600377714449,0.9970382810645531,0.001322808888389103,-0.09299999999999967,-0.09299999999999967
28,-0.09199999999999967,6.630516383219259e-05,0.04264254795136192,0.3368145313395076,0.9968366901014973,0.001334765035662072,-0.09199999999999967,-0.09199999999999967
29,-0.09099999999999966,7.458254964425195e-05,0.04479443267892007,0.3369947034762095,0.9966214229917638,0.001346597483377951,-0.09099999999999966,-0.09099999999999966
30,-0.08999999999999966,8.389317877538457e-05,0.04704716732711828,0.3372043658603102,0.9963915579710125,0.001358298985360931,-0.08999999999999966,-0.08999999999999966
31,-0.08899999999999966,9.436600515289746e-05,0.04940432561810761,0.3374478145500417,0.9961461118774582,0.001369862311584042,-0.08899999999999966,-0.08899999999999966
32,-0.08799999999999966,0.0001061460706986809,0.05186943040315896,0.3377298779241766,0.9958840361232735,0.001381280259476858,-0.08799999999999966,-0.08799999999999966
33,-0.08699999999999966,0.0001193965108123748,0.05444592008296462,0.3380559672055771,0.9956042123970446,0.001392545665399056,-0.08699999999999966,-0.08699999999999966
34,-0.08599999999999966,0.0001343008094230975,0.05713710983212412,0.3384321293533847,0.9953054480749176,0.001403651416246986,-0.08599999999999966,-0.08599999999999966
35,-0.08499999999999966,0.0001510653345529225,0.05994614712192958,0.338865102036677,0.9949864713147764,0.001414590461159054,-0.08499999999999966,-0.08499999999999966
36,-0.08399999999999966,0.0001699221891415811,0.06287596103448263,0.3393623703215007,0.9946459258037682,0.001425355823284417,-0.08399999999999966,-0.08399999999999966
37,-0.08299999999999966,0.0001911324161482903,0.06592920487495417,0.3399322246149795,0.9942823651246229,0.001435940611578415,-0.08299999999999966,-0.08299999999999966
38,-0.08199999999999966,0.0002149896017266673,0.06910819162183457,0.3405838193152047,0.9938942467002968,0.001446338032587208,-0.08199999999999966,-0.08199999999999966
39,-0.08099999999999967,0.0002418239256214419,0.07241482181242177,0.3413272315145802,0.9934799252693736,0.001456541402183365,-0.08099999999999967,-0.08099999999999967
40,-0.07999999999999967,0.0002720067139263082,0.07585050354831757,0.3421735189982013,0.9930376458361444,0.00146654415721359,-0.07999999999999967,-0.07999999999999967
41,-0.07899999999999967,0.000305955556042304,0.07941606442973172,0.343134776668963,0.9925655360291759,0.001476339867019424,-0.07899999999999967,-0.07899999999999967
42,-0.07799999999999967,0.00034414005516411,0.08311165539473558,0.3442241904189715,0.9920615977902664,0.001485922244791634,-0.07799999999999967,-0.07799999999999967
43,-0.07699999999999967,0.0003870882899830555,0.08693664665724934,0.3454560873543003,0.991523698301762,0.001495285158719069,-0.07699999999999967,-0.07699999999999967
44,-0.07599999999999967,0.0004353940746233571,0.09088951621226095,0.3468459811693366,0.9909495600441228,0.001504422642893086,-0.07599999999999967,-0.07599999999999967
45,-0.07499999999999966,0.0004897251142224355,0.0949677317145446,0.348410611360321,0.9903367498572421,0.00151332890792913,-0.07499999999999966,-0.07499999999999966
46,-0.07399999999999966,0.0005508321651343833,0.09916762694243611,0.3501679748679022,0.9896826668582993,0.001521998351267869,-0.07399999999999966,-0.07399999999999966
47,-0.07299999999999966,0.0006195593215919605,0.1034842745330195,0.3521373486485498,0.9889845290459087,0.001530425567119158,-0.07299999999999966,-0.07299999999999966
48,-0.07199999999999966,0.000696855564926619,0.1079113572177473,0.3543393015976745,0.988239358395209,0.001538605356013374,-0.07199999999999966,-0.07199999999999966
49,-0.07099999999999966,0.0007837877272422127,0.1124410403914643,0.3567956941866407,0.9874439642216987,0.001546532733926018,-0.07099999999999966,-0.07099999999999966
50,-0.06999999999999966,0.0008815550388924102,0.1170638495000273,0.3595296641349908,0.986594924563678,0.001554202940943073,-0.06999999999999966,-0.06999999999999966
51,-0.06899999999999966,0.0009915054483494849,0.1217685564113348,0.3625655964216562,0.9856885653049855,0.001561611449436421,-0.06899999999999966,-0.06899999999999966
52,-0.06799999999999966,0.001115153924192818,0.1265420796115171,0.3659290759482273,0.9847209367325814,0.001568753971720593,-0.06799999999999966,-0.06799999999999966
53,-0.06699999999999966,0.001254202972096938,0.1313694037020547,0.3696468212068748,0.9836877871990738,0.001575626467164272,-0.06699999999999966,-0.06699999999999966
54,-0.06599999999999966,0.001410565624949702,0.1362335242139978,0.373746597378485,0.98258453354057,0.001582225148732273,-0.06599999999999966,-0.06599999999999966
55,-0.06499999999999966,0.001586391191638821,0.1411154241417787,0.3782571073958717,0.9814062278879221,0.001588546488936178,-0.06499999999999966,-0.06499999999999966
56,-0.06399999999999965,0.001784094079622633,0.1459940887631027,0.3832078596550699,0.9801475205076136,0.001594587225174362,-0.06399999999999965,-0.06399999999999965
57,-0.06299999999999965,0.002006386038098684,0.1508465651807214,0.3886290112466646,0.978802618320895,0.001600344364444851,-0.06299999999999965,-0.06299999999999965
58,-0.06199999999999966,0.002256312202264587,0.1556480725255507,0.3945511858102158,0.9773652387805667,0.001605815187417184,-0.06199999999999966,-0.06199999999999966
59,-0.06099999999999966,0.00253729135457641,0.1603721678363699,0.401005265388712,0.9758285588386975,0.001610997251852311,-0.06099999999999966,-0.06099999999999966
60,-0.05999999999999966,0.002853160855640988,0.164990971234669,0.4080221559763886,0.9741851588206644,0.001615888395362421,-0.05999999999999966,-0.05999999999999966
61,-0.05899999999999966,0.003208226734818126,0.1694754521271022,0.4156325268110235,0.9724269611365511,0.00162048673750553,-0.05899999999999966,-0.05899999999999966
62,-0.05799999999999966,0.003607319467878998,0.1737957758127975,0.4238665238587728,0.9705451639154959,0.001624790681212546,-0.05799999999999966,-0.05799999999999966
63,-0.05699999999999966,0.004055856004952435,0.1779217071143302,0.4327534583725055,0.9685301698471764,0.00162879891354744,-0.05699999999999966,-0.05699999999999966
64,-0.05599999999999966,0.004559908644842669,0.1818230646058886,0.442321471869022,0.9663715107617765,0.001632510405804046,-0.05599999999999966,-0.05599999999999966
65,-0.05499999999999965,0.005126281379426166,0.1854702158469081,0.4525971793610131,0.9640577687790204,0.001635924412945787,-0.05499999999999965,-0.05499999999999965
66,-0.05399999999999965,0.005762594351354954,0.1888346009551942,0.4636052931894465,0.9615764952101679,0.001639040472397419,-0.05399999999999965,-0.05399999999999965
67,-0.05299999999999964,0.006477377075984411,0.1918892691117213,0.4753682303235456,0.9589141288042056,0.001641858402200492,-0.05299999999999964,-0.05299999999999964
68,-0.05199999999999964,0.007280171069536962,0.1946094104313094,0.4879057065198361,0.9560559153881094,0.001644378298546832,-0.05199999999999964,-0.05199999999999964
69,-0.05099999999999963,0.00818164249397221,0.1969728642948284,0.5012343212492101,0.9529858314550308,0.001646600532706723,-0.05099999999999963,-0.05099999999999963
70,-0.04999999999999962,0.0091937053672885,0.1989605849108508,0.5153671378010922,0.9496865147937121,0.001648525747370811,-0.04999999999999962,-0.04999999999999962
71,-0.04899999999999962,0.01032965578664008,0.2005570456779664,0.5303132634454768,0.9461392058131453,0.001650154852426865,-0.04899999999999962,-0.04899999999999962
72,-0.04799999999999962,0.01160431745918697,0.201750565880986,0.5460774349653101,0.9423237037793254,0.001651489020194529,-0.04799999999999962,-0.04799999999999962
73,-0.04699999999999962,0.01303419861800949,0.202533546298465,0.5626596152516943,0.9382183427217246,0.001652529680143011,-0.04699999999999962,-0.04699999999999962
74,-0.04599999999999962,0.01463766010094516,0.202902604245451,0.5800546069710246,0.9337999922564361,0.001653278513118306,-0.04599999999999962,-0.04599999999999962
75,-0.04499999999999962,0.01643509396903537,0.2028586031549323,0.5982516895551204,0.9290440889764794,0.001653737445107976,-0.04499999999999962,-0.04499999999999962
76,-0.04399999999999961,0.01844911151540045,0.2024065766820521,0.6172342859219657,0.9239247043388549,0.001653908640572824,-0.04399999999999961,-0.04399999999999961
77,-0.04299999999999961,0.02070473883863681,0.2015555521366679,0.6369796653960793,0.9184146550905665,0.001653794495375818,-0.04299999999999961,-0.04299999999999961
78,-0.04199999999999961,0.02322961729827223,0.2003182824628275,0.6574586892552335,0.9124856621780459,0.001653397629339556,-0.04199999999999961,-0.04199999999999961
79,-0.0409999999999996,0.02605420510244037,0.19871089968596,0.6786356051771925,0.9061085637323116,0.001652720878464221,-0.0409999999999996,-0.0409999999999996
80,-0.0399999999999996,0.02921197496822181,0.1967525055144274,0.7004678965911424,0.8992535870742856,0.001651767286838493,-0.0399999999999996,-0.0399999999999996
81,-0.0389999999999996,0.03273960121340098,0.1944647164809734,0.7229061925503054,0.8918906837047329,0.001650540098276178,-0.0389999999999996,-0.0389999999999996
82,-0.0379999999999996,0.03667712776058794,0.191871181611624,0.7458942432339527,0.8839899299036013,0.001649042747711484,-0.0379999999999996,-0.0379999999999996
83,-0.0369999999999996,0.04106810634743451,0.1889970901787479,0.7693689655601932,0.8755219938483774,0.001647278852385787,-0.0369999999999996,-0.0369999999999996
84,-0.0359999999999996,0.04595969174476198,0.1858686857723249,0.7932605626495433,0.8664586680703291,0.001645252202858544,-0.0359999999999996,-0.0359999999999996
85,-0.03499999999999959,0.05140267802016398,0.1825128009037416,0.8174927200301549,0.8567734636201083,0.00164296675387462,-0.03499999999999959,-0.03499999999999959
86,-0.03399999999999959,0.05745145692011912,0.1789564238620076,0.8419828805280298,0.8464422595512383,0.001640426615119787,-0.03399999999999959,-0.03399999999999959
87,-0.03299999999999959,0.06416387640517689,0.1752263067984197,0.8666425987515678,0.8354439983172687,0.001637636041895462,-0.03299999999999959,-0.03299999999999959
88,-0.03199999999999958,0.07160097445737756,0.1713486212297003,0.8913779749738371,0.8237614145075902,0.001634599425742972,-0.03199999999999958,-0.03199999999999958
89,-0.03099999999999958,0.07982656077139343,0.1673486644958356,0.9160901670547468,0.8113817811360962,0.0016313212850467,-0.03099999999999958,-0.03099999999999958
90,-0.02999999999999957,0.08890661722831192,0.1632506183200097,0.9406759778476075,0.7982976545886931,0.001627806255644435,-0.02999999999999957,-0.02999999999999957
91,-0.02899999999999957,0.09890848763296496,0.1590773585826334,0.965028514320877,0.7845075964941087,0.001624059081472135,-0.02899999999999957,-0.02899999999999957
92,-0.02799999999999957,0.1098998286818255,0.1548503137859237,0.9890379134179739,0.7700168483872094,0.001620084605269074,-0.02799999999999957,-0.02799999999999957
93,-0.02699999999999957,0.1219472982181097,0.1505893684597961,1.012592128498622,0.7548379332730624,0.001615887759368095,-0.02699999999999957,-0.02699999999999957
94,-0.02599999999999956,0.1351149642658245,0.1463128069252415,1.035577769077361,0.7389911572594481,0.001611473556594288,-0.02599999999999956,-0.02599999999999956
95,-0.02499999999999956,0.149462429817344,0.1420372923486317,1.057880985521664,0.7225049844785307,0.001606847081294056,-0.02499999999999956,-0.02499999999999956
96,-0.02399999999999956,0.165042684418682,0.1377778758377587,1.079388389415929,0.7054162597118666,0.00160201348051507,-0.02399999999999956,-0.02399999999999956
97,-0.02299999999999956,0.1818997144635619,0.1335480303904428,1.099987999459816,0.6877702555741338,0.001596977955356151,-0.02299999999999956,-0.02299999999999956
98,-0.02199999999999956,0.2000659294567125,0.1293597047515904,1.119570202069456,0.6696205248541591,0.00159174575250461,-0.02199999999999956,-0.02199999999999956
99,-0.02099999999999956,0.2195594902929961,0.1252233926108211,1.138028715305613,0.6510285436461869,0.001586322155977118,-0.02099999999999956,-0.02099999999999956
